"File","Line","Pattern","Text"
"D:\xampp\htdocs\cooking_website\app\views\admin\ingredient_detail.php","9","\u00C3","? 'Đã duyệt'"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_bans.php","9","\u00C3","'released' => 'Đã gỡ ban thành công.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_ingredients.php","23","\u00C3","Đã thêm nguyên liệu mới."
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_ingredients.php","121","\u00C3","? 'Đã duyệt'"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_logs.php","13","\u00C3","<div class=""p-6 text-sm text-slate-700"">[10:24] admin đã duyệt công thức “Bún bò Huế”.</div>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_logs.php","14","\u00C3","<div class=""p-6 text-sm text-slate-700"">[09:40] admin đã ẩn bình luận vi phạm.</div>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_notifications.php","66","\u00C3","<span class=""rounded-full bg-green-100 px-3 py-1 text-xs font-semibold text-green-700"">Đã gửi: <?= (int) ($c['sent_count'] ?? 0); ?></span>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","39","\u00C3","<div class=""rounded-lg border border-emerald-200 bg-emerald-50 px-4 py-3 text-sm text-emerald-700"">Đã thêm công thức mới.</div>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","103","\u00C3","Đã duyệt (<?= (int) $approvedCount; ?>)"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","131","\u00C3","? 'Đã duyệt'"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","162","\u00C3","<div class=""p-6 text-sm text-slate-500"">Chưa có công thức đã duyệt.</div>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","181","\u00C3","<td class=""px-6 py-4""><span class=""rounded-full px-3 py-1 text-xs font-semibold bg-emerald-100 text-emerald-700"">Đã duyệt</span></td>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_recipes.php","185","\u00C3","<form method=""post"" action=""<?= URLROOT; ?>/admin/recipes/<?= (int) $recipe['id']; ?>/delete"" onsubmit=""return confirm('Xóa công thức đã duyệt này?');"">"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_relationships.php","16","\u00C3","'removed' => 'Đã gỡ mối quan hệ follow.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_relationships.php","18","\u00C3","'lock_updated' => 'Đã cập nhật trạng thái khóa follow.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_reports.php","8","\u00C3","'updated' => 'Đã cập nhật trạng thái báo cáo.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_reports.php","533","\u00C3","<option value=""reviewed"" <?= $status === 'reviewed' ? 'selected' : ''; ?>>Đã xem</option>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_reports.php","534","\u00C3","<option value=""resolved"" <?= $status === 'resolved' ? 'selected' : ''; ?>>Đã xử lý</option>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_reports.php","580","\u00C3","<?= $e($row['target_title'] ?? 'Nội dung đã xóa'); ?>"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_tips.php","6","\u00C3","'approved' => ['Đã duyệt', 'bg-emerald-100 text-emerald-700'],"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","24","\u00C3","'banned' => 'Đã ban tài khoản.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","25","\u00C3","'unbanned' => 'Đã mở ban tài khoản.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","26","\u00C3","'deleted' => 'Đã xóa mềm tài khoản.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","27","\u00C3","'restored' => 'Đã khôi phục tài khoản.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","28","\u00C3","'admin_created' => 'Đã tạo tài khoản admin thành công.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","30","\u00C3","'role_updated' => 'Đã cập nhật vai trò người dùng.',"
"D:\xampp\htdocs\cooking_website\app\views\admin\manage_users.php","81","\u00C3","<option value=""deleted"" <?= $state === 'deleted' ? 'selected' : ''; ?>>Đã xóa mềm</option>"
"D:\xampp\htdocs\cooking_website\app\views\admin\recipe_detail.php","10","\u00C3","? 'Đã duyệt'"
"D:\xampp\htdocs\cooking_website\app\views\auth\register.php","48","\u00C3","Đã có tài khoản?"
"D:\xampp\htdocs\cooking_website\app\views\ingredients\create.php","16","\u00C3","Cảm ơn bạn! Nguyên liệu đã được gửi và đang chờ duyệt."
"D:\xampp\htdocs\cooking_website\app\views\ingredients\my.php","6","\u00C3","'approved' => 'Đã duyệt',"
"D:\xampp\htdocs\cooking_website\app\views\ingredients\show.php","79","\u00C3","$reportModalSuccessToast = 'Đã gửi báo cáo nguyên liệu.';"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","76","\u00C3","'updated' => 'Đã cập nhật quyền chia sẻ kế hoạch.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","77","\u00C3","'link_reset' => 'Đã tạo link chia sẻ mới.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","78","\u00C3","'assigned' => 'Đã thêm món vào kế hoạch.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","79","\u00C3","'removed' => 'Đã xóa món khỏi kế hoạch.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","80","\u00C3","'slot_locked' => 'Ngày này đã bị khóa, không thể chỉnh sửa.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","81","\u00C3","'week_locked' => 'Đã khóa tuần kế hoạch này.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","82","\u00C3","'week_unlocked' => 'Đã mở khóa tuần kế hoạch này.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","83","\u00C3","'day_locked' => 'Đã khóa ngày được chọn.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","84","\u00C3","'day_unlocked' => 'Đã mở khóa ngày được chọn.',"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","135","\u00C3","<?= $slotReady ? ('Đang chọn ô: <strong>' . htmlspecialchars($selectedSlotDate, ENT_QUOTES, 'UTF-8') . '</strong> - <strong>' . htmlspecialchars($mealRows[$selectedSlotMeal] ?? $selectedSlotMeal, ENT_QUOTES, 'UTF-8') . '</strong>') : 'Bạn chưa chọn ô. Hãy bấm vào một ô trong lịch trước khi thêm món.'; ?>"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","160","\u00C3","<p class=""mb-3 text-xs uppercase tracking-wider text-slate-400"">Thêm vào ô đã chọn</p>"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","185","\u00C3","<button class=""js-assign-btn w-full rounded-lg px-3 py-2 text-xs font-bold <?= $slotReady ? 'bg-slate-900 text-white' : 'cursor-not-allowed bg-slate-100 text-slate-400'; ?>"" type=""submit"" <?= $slotReady ? '' : 'disabled'; ?>><?= $slotReady ? 'Thêm vào ô đã chọn' : 'Chọn ô trước'; ?></button>"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","351","\u00C3",": 'Bạn chưa chọn ô. Hãy bấm vào một ô trong lịch trước khi thêm món.';"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","365","\u00C3","b.textContent = ready ? 'Thêm vào ô đã chọn' : (locked ? 'Ô đang khóa' : 'Chọn ô trước');"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","392","\u00C3","showNotice('Ngày này đã bị khóa, không thể chỉnh sửa.', true);"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","421","\u00C3","showNotice(data.message || 'Đã cập nhật khóa tuần.');"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","445","\u00C3","showNotice(data.message || 'Đã cập nhật khóa ngày.');"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","459","\u00C3","showNotice('Ngày này đã bị khóa, không thể chỉnh sửa.', true);"
"D:\xampp\htdocs\cooking_website\app\views\mealplans\index.php","473","\u00C3","showNotice('Ngày này đã bị khóa, không thể chỉnh sửa.', true);"
"D:\xampp\htdocs\cooking_website\app\views\partials\ingredient\quick_info_actions_card.php","38","\u00C3","$actionSaveLabelOn = 'Đã lưu nguyên liệu';"
"D:\xampp\htdocs\cooking_website\app\views\partials\ingredient\quick_info_actions_card.php","40","\u00C3","$actionSaveSuccessToast = 'Đã cập nhật lưu nguyên liệu.';"
"D:\xampp\htdocs\cooking_website\app\views\partials\ingredient\quick_info_actions_card.php","53","\u00C3","$actionReportSuccessToast = 'Đã gửi báo cáo nguyên liệu.';"
