"File","Line","Pattern","Text"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","49","\u00C4","['path' => '/admin', 'icon' => 'dashboard', 'label' => 'Báº£ng Ä‘iá»u khiá»ƒn', 'permissions' => ['admin.dashboard.view'], 'exact' => true],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","49","\u00E1\u00BB","['path' => '/admin', 'icon' => 'dashboard', 'label' => 'Báº£ng Ä‘iá»u khiá»ƒn', 'permissions' => ['admin.dashboard.view'], 'exact' => true],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","50","\u00C6","['path' => '/admin/users', 'icon' => 'group', 'label' => 'Quáº£n lĂ½ ngÆ°á»i dĂ¹ng', 'permissions' => ['admin.users.view', 'admin.users.manage', 'admin.users.role.assign']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","50","\u00E1\u00BB","['path' => '/admin/users', 'icon' => 'group', 'label' => 'Quáº£n lĂ½ ngÆ°á»i dĂ¹ng', 'permissions' => ['admin.users.view', 'admin.users.manage', 'admin.users.role.assign']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","51","\u00E1\u00BB","['path' => '/admin/recipes', 'icon' => 'restaurant_menu', 'label' => 'Quáº£n lĂ½ cĂ´ng thá»©c', 'permissions' => ['admin.recipes.manage', 'admin.recipes.review']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","54","\u00E1\u00BB","['path' => '/admin/ingredients', 'icon' => 'grocery', 'label' => 'Quáº£n lĂ½ nguyĂªn liá»‡u', 'permissions' => ['admin.ingredients.manage', 'admin.ingredients.review']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","55","\u00E1\u00BB","['path' => '/admin/categories', 'icon' => 'category', 'label' => 'Danh má»¥c', 'permissions' => ['admin.categories.manage']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","58","\u00E1\u00BB","['path' => '/admin/relationships', 'icon' => 'hub', 'label' => 'Má»‘i quan há»‡', 'permissions' => ['admin.relationships.view', 'admin.relationships.moderate']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","61","\u00E1\u00BB","['path' => '/admin/stats', 'icon' => 'monitoring', 'label' => 'Thá»‘ng kĂª', 'permissions' => ['admin.stats.view']],"
"D:\xampp\htdocs\cooking_website\app\views\layouts\admin_header.php","62","\u00C4","['path' => '/admin/mealplans', 'icon' => 'calendar_month', 'label' => 'Káº¿ hoáº¡ch bá»¯a Äƒn', 'permissions' => ['admin.mealplans.view', 'admin.mealplans.moderate']],"
